SCI_NAME,TAXON_ORDER,CATEGORY,SPECIES_CODE,PRIMARY_COM_NAME,ORDER1,FAMILY,SPECIES_GROUP,REPORT_AS,HebName,AlienInvasive,Synanthrope,NativeInvasive,ConservationStatusWorld,ConservationCodeWorld,ConservationStatusIL2002,ConservationCodeIL2002,ConservationStatusIL2018,ConservationCodeIL2018,ConservationChange,PresenceIL,Resident,BreedingIL,MigrationType._resident,MigrationType._Long.range.migrant,MigrationType._short.range.semi.migrant,MigrationType._nomadic,ZoogeoZone._Mediterranean.,ZoogeoZone._Irano.Turanian,ZoogeoZone._Sudanese,ZoogeoZone._Alpine,ZoogeoZone._Saharo.Arabian.,LandscapeFormation_wet.Habitat,LandscapeFormation_wide.wadis,LandscapeFormation_rural.landscape,LandscapeFormation_Plains.and.Valleys,LandscapeFormation_Mountainous.area,LandscapeFormation_cliffs,LandscapeFormation_rocks.and.stony.ground,LandscapeFormation_Urban.space,LandscapeFormation_Sand.dunes,VegetationFormation_reedbed.and.sedges.,VegetationFormation_gardens.and.parks.,VegetationFormation_etsiya.park_forest,VegetationFormation_forest,VegetationFormation_Mediterranean.Maquis,VegetationFormation_low.shrubland.,VegetationFormation_herbaceous,VegetationFormation_high.shrubland,VegetationFormation_plantations,VegetationFormation_field.crops.,VegetationDensity._High,VegetationDensity._Medium,VegetationDensity._Low,nest_location_trees,nest_location_bushes,nest_location_cliffs,nest_location_ground,nest_location_ruins.,nest_location_dirt.cliffs,nest_location_reedbed.and.sedges,nest_location_buildings,DietType._Omnivore,DietType._Herbivore,DietType._Fish,DietType._Invertebrates,DietType._Terrestrial.vertebrates,DietType._Scavenger,ForagingGround_Land,ForagingGround_Trees.and.bushes,ForagingGround_Air,ForagingGround_Water,Mass..g.,HabitatCondensed,Reference
Nycticorax nycticorax,7430,species,bcnher,Black-crowned Night-Heron,Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)","Herons, Ibis, and Allies",NA,אנפת לילה,0,0,0,Least concern,LC,Least concern,LC,Least concern,LC,No change,"winter visitor, passage migrant, resident",1,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,810,wet Habitat,
Falco peregrinus pelegrinoides,11793,issf,barfal1,Peregrine Falcon (Barbary),Falconiformes,Falconidae (Falcons and Caracaras),Falcons and Caracaras,perfal,בז מדברי,0,0,0,Least concern,LC,Near threatened,NT,Endangered,EN,Deteriorated,resident,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,500,stony desert,
Zapornia pusilla,5517,species,baicra1,Baillon's Crake,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)","Rails, Gallinules, and Allies",NA,ברודית גמדית,0,0,0,Least concern,LC,Not available,NA,Not available,NA,Not applicable,,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Branta leucopsis,299,species,bargoo,Barnacle Goose,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Waterfowl,NA,ברנטה לבנת-לחי,0,0,0,Least concern,LC,Not available,NA,Not available,NA,Not applicable,Vagrant,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Rynchops flavirostris,6684,species,afrski1,African Skimmer,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)","Gulls, Terns, and Skimmers",NA,גיזרן אפריקני,0,0,0,Near threatened,NT,Not available,NA,Not available,NA,Not applicable,Vagrant,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Dicrurus leucophaeus,19946,species,ashdro1,Ashy Drongo,Passeriformes,Dicruridae (Drongos),Drongos,NA,דרונגו עשנוני,0,0,0,Least concern,LC,Not available,NA,Not available,NA,Not applicable,Vagrant,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Argya squamiceps,26072,species,arabab1,Arabian Babbler,Passeriformes,Leiothrichidae (Laughingthrushes and Allies),Laughingthrushes and Allies,NA,זנבן ערבי,0,0,0,Least concern,LC,Least concern,LC,Least concern,LC,No change,resident,1,1,1,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,74,flat desert,
Pluvialis dominica,5741,species,amgplo,American Golden-Plover,Charadriiformes,Charadriidae (Plovers and Lapwings),Shorebirds,NA,חופזי אמריקני,0,0,0,Least concern,LC,Not available,NA,Not available,NA,Not applicable,Vagrant,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Pluvialis squatarola,5737,species,bkbplo,Black-bellied Plover,Charadriiformes,Charadriidae (Plovers and Lapwings),Shorebirds,NA,חופזי מנומר,0,0,0,Least concern,LC,Not available,NA,Not available,NA,Not applicable,"passage migrant, winter visitor",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Calidris bairdii,6032,species,baisan,Baird's Sandpiper,Charadriiformes,Scolopacidae (Sandpipers and Allies),Shorebirds,NA,חופית בירד,0,0,0,Least concern,LC,Not available,NA,Not available,NA,Not applicable,Vagrant,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Terathopius ecaudatus,7720,species,batele1,Bateleur,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)","Vultures, Hawks, and Allies",NA,חיוויאי להטוטן,0,0,0,Near threatened,NT,Not available,NA,Not available,NA,Not applicable,Vagrant,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Delichon dasypus,23735,species,ashmar1,Asian House-Martin,Passeriformes,Hirundinidae (Swallows),Martins and Swallows,NA,טסית אסייתית,0,0,0,Least concern,LC,Not available,NA,Not available,NA,Not applicable,Vagrant,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,1,0,0,NA,NA,NA,NA,NA,,
Puffinus lherminieri,7018,species,audshe,Audubon's Shearwater,Procellariiformes,Procellariidae (Shearwaters and Petrels),"Petrels, Shearwaters, and Diving-Petrels",NA,יסעור מערב אטלנטי,0,0,0,Least concern,LC,Not available,NA,Not available,NA,Not applicable,Vagrant,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Puffinus mauretanicus,6995,species,balshe1,Balearic Shearwater,Procellariiformes,Procellariidae (Shearwaters and Petrels),"Petrels, Shearwaters, and Diving-Petrels",NA,יסעור מערבי,0,0,0,Critically endangered,CR,Not available,NA,Not available,NA,Not applicable,Vagrant,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Hydrobates castro,6844,species,barpet,Band-rumped Storm-Petrel,Procellariiformes,Hydrobatidae (Northern Storm-Petrels),Storm-Petrels,NA,יסעורון מדירה,0,0,0,Least concern,LC,Not available,NA,Not available,NA,Not applicable,Vagrant,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Riparia riparia,23564,species,banswa,Bank Swallow,Passeriformes,Hirundinidae (Swallows),Martins and Swallows,NA,כוכית גדות,0,0,0,Least concern,LC,Not available,NA,Not available,NA,Not applicable,passage migrant,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,0,0,0,1,0,14,,https://www.birds.org.il/he/species-page/347/species-description פורטל הצפרות הישראלי
Limosa lapponica,5953,species,batgod,Bar-tailed Godwit,Charadriiformes,Scolopacidae (Sandpipers and Allies),Shorebirds,NA,לימוזה חומת-בטן,0,0,0,Near threatened,NT,Not evaluated,NE,Not evaluated,NE,Not applicable,,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Crex egregia,5241,species,afrcra1,African Crake,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)","Rails, Gallinules, and Allies",NA,מלכישליו אפריקני,0,0,0,Least concern,LC,Not available,NA,Not available,NA,Not applicable,Vagrant,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Curruca nana,24788,species,asdwar1,Asian Desert Warbler,Passeriformes,"Sylviidae (Sylviid Warblers, Parrotbills, and Allies)",Sylviid Warblers,NA,סבכי מדבר,0,0,0,Least concern,LC,Not available,NA,Not available,NA,Not applicable,winter visitor,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,1,0,0,1,1,0,0,10,,https://kotar.cet.ac.il/KotarApp/Viewer.aspx?nBookID=9984673#396.2400.6.default האנציקלופדיה של החי והצומח בארץ ישראל; https://www.birds.org.il/he/species-page/414/species-description פורטל הצפרות הישראלי
Curruca nisoria,24736,species,barwar1,Barred Warbler,Passeriformes,"Sylviidae (Sylviid Warblers, Parrotbills, and Allies)",Sylviid Warblers,NA,סבכי ניצי,0,0,0,Least concern,LC,Not available,NA,Not available,NA,Not applicable,passage migrant,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,1,0,0,1,1,0,0,26,https://kotar.cet.ac.il/KotarApp/Viewer.aspx?nBookID=9984673#396.2400.6.default האנציקלופדיה של החי והצומח בארץ ישראל; https://www.birds.org.il/he/species-page/415/species-description פורטל הצפרות הישראלי,
Apus melba,4024,species,alpswi1,Alpine Swift,Caprimulgiformes,Apodidae (Swifts),Swifts,NA,סיס הרים,0,0,0,Least concern,LC,Least concern,LC,Data deficient,DD,Not applicable,"passage migrant, summer visitor",0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,71.5,generalist,
Hirundo rustica,23610,species,barswa,Barn Swallow,Passeriformes,Hirundinidae (Swallows),Martins and Swallows,NA,סנונית רפתות,0,1,0,Least concern,LC,Least concern,LC,Least concern,LC,No change,"winter visitor, resident, passage migrant",1,1,0,1,1,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,16.5,generalist,
Pterodroma incerta,6916,species,atlpet1,Atlantic Petrel,Procellariiformes,Procellariidae (Shearwaters and Petrels),"Petrels, Shearwaters, and Diving-Petrels",NA,סערון אטלנטי,0,0,0,Endangered,EN,Not available,NA,Not available,NA,Not applicable,Vagrant,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Prunella collaris,30832,species,alpacc1,Alpine Accentor,Passeriformes,Prunellidae (Accentors),Accentors,NA,סתרי צוקים,0,0,0,Least concern,LC,Not available,NA,Not available,NA,Not applicable,,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Phylloscopus borealis,24403,species,arcwar1,Arctic Warbler,Passeriformes,Phylloscopidae (Leaf Warblers),Leaf Warblers,NA,עלווית צפונית,0,0,0,Least concern,LC,Not available,NA,Not available,NA,Not applicable,Vagrant,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Ammomanes cinctura,21864,species,batlar1,Bar-tailed Lark,Passeriformes,Alaudidae (Larks),Larks,NA,עפרוני חכלילי,0,0,0,Least concern,LC,Endangered,EN,Near threatened,NT,Improved,resident,1,1,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,23.5,flat desert,
Melanocorypha bimaculata,22148,species,bimlar1,Bimaculated Lark,Passeriformes,Alaudidae (Larks),Larks,NA,עפרוני פסגות,0,0,0,Least concern,LC,Critically endangered,CR,Regionally extinct,RE,Deteriorated,summer visitor,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,54,low shrubland ,
Anthus rubescens japonicus,31228,issf,sibpip1,Siberian Pipit,Passeriformes,Motacillidae (Wagtails and Pipits),Wagtails and Pipits,NA,פפיון ממושקף,0,0,0,Least concern,LC,Not available,NA,Not available,NA,Not applicable,,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Gavia arctica,6715,species,arcloo,Arctic Loon,Gaviiformes,Gaviidae (Loons),Loons,NA,צוללן שחור-גרון,0,0,0,Least concern,LC,Not available,NA,Not available,NA,Not applicable,,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Eremopterix nigriceps,21901,species,bcslar1,Black-crowned Sparrow-Lark,Passeriformes,Alaudidae (Larks),Larks,NA,צחיחן שחור-כיפה,0,0,0,Least concern,LC,Not available,NA,Not available,NA,Not applicable,Vagrant,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Aratinga nenday,12778,species,bkhpar,Nanday Parakeet,Psittaciformes,Psittacidae (New World and African Parrots),"Parrots, Parakeets, and Allies",NA,קוניור שחור-ראש,1,1,0,Least concern,LC,Not available,NA,Not available,NA,Not applicable,resident,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,130.5,,
Acrocephalus griseldis,23164,species,barwar2,Basra Reed Warbler,Passeriformes,Acrocephalidae (Reed Warblers and Allies),Reed Warblers and Allies,NA,קנית בצרה,0,0,0,Endangered,EN,Not evaluated,NE,Data deficient,DD,Not applicable,passage migrant,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,17,wet Habitat,
Chroicocephalus ridibundus,6386,species,bkhgul,Black-headed Gull,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)","Gulls, Terns, and Skimmers",NA,שחף אגמים,0,0,0,Least concern,LC,Not available,NA,Not available,NA,Not applicable,"passage migrant, winter visitor",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Ichthyaetus audouinii,6411,species,audgul1,Audouin's Gull,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)","Gulls, Terns, and Skimmers",NA,שחף אדום-מקור,0,0,0,Least concern,LC,Not available,NA,Not available,NA,Not applicable,"passage migrant, winter visitor",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Larus armenicus,6458,species,armgul1,Armenian Gull,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)","Gulls, Terns, and Skimmers",NA,שחף ארמני,0,0,0,Near threatened,NT,Not evaluated,NE,Not evaluated,NE,Not applicable,"passage migrant, winter visitor",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Sterna paradisaea,6630,species,arcter,Arctic Tern,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)","Gulls, Terns, and Skimmers",NA,שחפית קוטב,0,0,0,Least concern,LC,Not available,NA,Not available,NA,Not applicable,,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Panurus biarmicus,22313,species,bearee1,Bearded Reedling,Passeriformes,Panuridae (Bearded Reedling),Bearded Reedling,NA,שפמתן,0,0,0,Least concern,LC,Not available,NA,Not available,NA,Not applicable,Vagrant,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Merops persicus,10013,species,bcbeat1,Blue-cheeked Bee-eater,Coraciiformes,Meropidae (Bee-eaters),"Bee-eaters, Rollers, and Allies",NA,שרקרק ירוק,0,0,0,Least concern,LC,Vulnerable,VU,Critically endangered,CR,Deteriorated,"passage migrant, summer visitor",0,1,0,1,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,44,low shrubland ,
Fratercula arctica,6345,species,atlpuf,Atlantic Puffin,Charadriiformes,"Alcidae (Auks, Murres, and Puffins)",Alcids,NA,תוכי-ים אטלנטי,0,0,0,Vulnerable,VU,Not available,NA,Not available,NA,Not applicable,Vagrant,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Streptopelia roseogrisea,2037,species,afcdov1,African Collared-Dove,Columbiformes,Columbidae (Pigeons and Doves),Pigeons and Doves,NA,תור צווארון אפריקני,0,0,0,Least concern,LC,Not available,NA,Not available,NA,Not applicable,Vagrant,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
